Rating,# of patient feedback,page_source,Specialty,Experience,Pincode,City,State,Hospital/Clinic name,Address,Education,Doctor name
rating not found,,https://www.lybrate.com/kalyani/doctor/dr-arghya-deb-general-physician?lpt=PS-SRP,General Physician,"9, Years experience",,Kolkata,West bengol,"Lifeline Polyclinic, ","Kalyani,,,Kolkata,","MBBS, MD - General Medicine","Dr. ,Arghya Deb"
 (40 ratings),1 patient feedback,https://www.lybrate.com/kolkata/doctor/dr-indranil-khan-general-physician?lpt=PS-SRP,General Physician,"7, Years experience",,Kolkata,West bengol,"Dr.Indranil Khan, ","Taratala,,,Kolkata,","MBBS, MD","Dr. ,Indranil Khan"
 (73 ratings),,https://www.lybrate.com/kolkata/doctor/dr-papri-mitra-general-physician?lpt=PS-SRP,General Physician,"18, Years experience",,Kolkata,West bengol,"Papri, ","Bidhan Park,,,Kolkata,",MBBS,"Dr. ,Papri Mitra"
rating not found,1 patient feedback,https://www.lybrate.com/kolkata/doctor/dr-krishna-poddar-general-physician?lpt=PS-SRP,General Physician,"27, Years experience",,Kolkata,West bengol,"Kolkata Pain Clinic - Dr. Krishna P ..., ","Salt Lake,,,Kolkata,","MD - Anaesthesiology, Fellow  of Pain  Medicine","Dr. ,Krishna Poddar"
 (54 ratings),,https://www.lybrate.com/delhi/doctor/dr-abhirup-chakrabarti-general-physician?lpt=PS-SRP,General Physician,"4, Years experience",,Kolkata,West bengol,"Kothari Medical Center, ",",Kolkata,,",MBBS,"Dr. ,Abhirup  Chakrabarti"
 (77 ratings),3 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-subha-metya-general-physician?lpt=PS-SRP,General Physician,"3, Years experience",,Kolkata,West bengol,"Wellness centre, ",",Kolkata,,",MBBS,"Dr. ,Subha Metya"
 (179 ratings),4 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-abhijit-ray-general-physician-1?lpt=PS-SRP,General Physician,"3, Years experience",,Kolkata,West bengol,"Chandralok, ","S P Mukherjee Road,,,Kolkata,","MBBS, MACP, MESC, MAHA","Dr. ,Abhijit Ray"
 (25 ratings),,https://www.lybrate.com/kolkata/doctor/dr-bikram-bhowmick-general-physician?lpt=PS-SRP,General Physician,"2, Years experience",,Kolkata,West bengol,"Bhowmick Clinic, ","Roy Bahadur Road,,,Kolkata,",MBBS,"Dr. ,Bikram Bhowmick"
 (71 ratings),,https://www.lybrate.com/kolkata/doctor/dr-niladri-banerjee-general-physician?lpt=PS-SRP,General Physician,"7, Years experience",,Kolkata,West bengol,"hygienib, ",",Kolkata,,","MBBS, MD - Community Medicine(P.G.T)","Dr. ,Niladri Banerjee"
 (79 ratings),,https://www.lybrate.com/kolkata/doctor/dr-mahesh-kumar-maskara-general-physician?lpt=PS-SRP,General Physician,experience not found,,Kolkata,West bengol,"Dr Mahesh Maskara s Chamber, ",",Kolkata,,",,"Dr. ,Mahesh Kumar Maskara"
 (12 ratings),,https://www.lybrate.com/kolkata/doctor/dr-mir-tahmid-zaman-general-physician?lpt=PS-SRP,General Physician,"2, Years experience",,Kolkata,West bengol,"Horizon Lifeline PVT LTD, ","Hazra,,,Kolkata,","MBBS, DCH","Dr. ,Mir Tahmid Zaman"
 (24 ratings),,https://www.lybrate.com/kolkata/doctor/dr-ritwik-roy-general-physician?lpt=PS-SRP,General Physician,"8, Years experience",,Kolkata,West bengol,"RITZCARE virtual clinic for lifesty ..., ","Alipore,,,kolkata,","MBBS, DNB, pg certificate in diabetes management","Dr. ,Ritwik Roy"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-dwaipayan-sarathi-chakraborty-general-physician?lpt=PS-SRP,General Physician,"15, Years experience",,Kolkata,West bengol,"Doctor's chamber, ","Dhakuria,,,Kolkata,","MBBS Bachelor of Medicine and Bachelor of Surgery, MD - Pharmacology IPGMER","Dr. ,Dwaipayan Sarathi Chakraborty"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-shabbir-ahmed-general-physician?lpt=PS-SRP,General Physician,"37, Years experience",,Kolkata,West bengol,"Dr. Zafar Clinic, ","Park Street,,,Kolkata,",MBBS,"Dr. ,Shabbir Ahmed"
 (363 ratings),,https://www.lybrate.com/kolkata/doctor/dr-surender-sharma-general-physician?lpt=PS-SRP,General Physician,"5, Years experience",,Kolkata,West bengol,"Dr. Surender Sharma., ",",KOLKATA,,",MBBS,"Dr. ,Surender Sharma"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-saptarshi-bhattacharya-anesthesiologist?lpt=PS-SRP,General Physician,"5, Years experience",,Kolkata,West bengol,"M S Pharmacy, ","Garfa,,,Kolkata,","MD, M.B.B.S","Dr. ,Saptarshi Bhattacharya"
 (10 ratings),,https://www.lybrate.com/kolkata/doctor/dr-aditya-bishayee-general-physician?lpt=PS-SRP,General Physician,"4, Years experience",,Kolkata,West bengol,"Rajarshi, ",",kolkata,,",MBBS,"Dr. ,Aditya Bishayee"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-saikat-mandal-acupressurist?lpt=PS-SRP,General Physician,"3, Years experience",,Kolkata,West bengol,"Dr. Saikat Mandal, ",",calcutta,,",MBBS,"Dr. ,Saikat Mandal"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-sayan-mukherjee-general-physician?lpt=PS-SRP,General Physician,"6, Years experience",,Kolkata,West bengol,"Med Clinic, ",",Kolkata,,","JUNIOR RESIDENT OF DEPARTMENT OF MEDICINE, m.b.b.s","Dr. ,Sayan Mukherjee"
 (78 ratings),2 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-somnath-de-general-physician?lpt=PS-SRP,General Physician,"5, Years experience",,Kolkata,West bengol,"Dr. Somnath De, ","Bagbazar,,,Kolkata,","Bankura Medical College, RG KAR MEDICAL COLLEGE","Dr. ,Somnath De"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-sukanta-das-mbbs-dph-md-general-physician?lpt=PS-SRP,General Physician,"13, Years experience",,Kolkata,West bengol,"HRIDAYPUR, ",",Kolkata,,","MBBS, DPH, MD","Dr. ,Sukanta Das Md Dph Mbbs"
 (10 ratings),,https://www.lybrate.com/kolkata/doctor/dr-shafqat-sayeed-general-physician?lpt=PS-SRP,General Physician,"29, Years experience",,Kolkata,West bengol,"Pediatrics clinic, G . D. Hospital  ..., ","Lenin Sarani,,,Kolkata,","MBBS, Diplomate of American  Board of Pediatrics(American Board of Pediatrics, Felow of American Academy of Pediatrics","Dr. ,Shafqat Sayeed"
 (11 ratings),,https://www.lybrate.com/kolkata/doctor/dr-rajendra-jalan-general-physician?lpt=PS-SRP,General Physician,"48, Years experience",,Kolkata,West bengol,"jalans, ",",Kolkata,,",MBBS TDD,"Dr. ,Rajendra Jalan"
 (55 ratings),,https://www.lybrate.com/delhi/doctor/dr-debajani-patra-general-physician?lpt=PS-SRP,General Physician,"5, Years experience",,Kolkata,West bengol,"Nidaan clinic, ","Rajarhat,,,Kolkata,",Dnb Family Medicine,"Dr. ,Debajani Patra"
 (37 ratings),1 patient feedback,https://www.lybrate.com/kolkata/doctor/dr-moinak-basu-general-physician?lpt=PS-SRP,General Physician,"6, Years experience",,Kolkata,West bengol,"Sugarline Academy, ","N S C Bose Road,,,Kolkata,",MBBS,"Dr. ,Moinak Basu"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-debashis-chatterjee-general-physician?lpt=PS-SRP,General Physician,"29, Years experience",,Kolkata,West bengol,"Desun Hospital and Heart Institute, ","Kasba,,,Kolkata,","MBBS Bachelor of Medicine and Bachelor of Surgery, MD - General Medicine, DNB (General Medicine), MRCP (UK), CCST (UK)","Dr. ,Debashis Chatterjee"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-saptarshi-banerjee-general-physician?lpt=PS-SRP,General Physician,"5, Years experience",,Kolkata,West bengol,"NEER, ",",KOLKATA,,",MBBS,"Dr. ,Saptarshi Banerjee"
 (78 ratings),4 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-sushmita-pal-santra-general-physician?lpt=PS-SRP,General Physician,"8, Years experience",,Kolkata,West bengol,"Good Health , ","New Town,,,kolkata,",MD - Physician,"Dr. ,Sushmita Pal Santra"
rating not found,1 patient feedback,https://www.lybrate.com/kolkata/doctor/dr-partha-sarathi-sengupta-general-physician?lpt=PS-SRP,General Physician,"38, Years experience",,Kolkata,West bengol,"Partha Sarathi Sengupta, ","Kalighat,,,Kolkata,","West Bengal Medical Council, Calcutta Medical College","Dr. ,Partha Sarathi Sengupta"
 (19 ratings),,https://www.lybrate.com/kolkata/doctor/dr-aniket-mondal-general-physician?lpt=PS-SRP,General Physician,"6, Years experience",,Kolkata,West bengol,"General Physician, ","Santoshpur,,,Kolkata,",MBBS,"Dr. ,Aniket Mondal"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-soham-dutt-general-physician?lpt=PS-SRP,General Physician,"6, Years experience",,Kolkata,West bengol,"residence, ","Paikpara,,,Kolkata,",MBBS,"Dr. ,Soham Dutt"
rating not found,1 patient feedback,https://www.lybrate.com/kolkata/doctor/dr-anurag-majumdar-general-physician?lpt=PS-SRP,General Physician,experience not found,,Kolkata,West bengol,"Aashirvaad, ","Tollygunge,,,Kolkata,",,"Dr. ,Anurag Majumdar"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-amitabha-bandyopadhyay-general-physician?lpt=PS-SRP,General Physician,"40, Years experience",,Kolkata,West bengol,"Dr. Amitabha Bandhopadhay's Clinic, ","Belgharia,,,Kolkata,","MBBS, MD - Medicine","Dr. ,Amitabha Bandyopadhyay"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-debdut-dhar-general-physician?lpt=PS-SRP,General Physician,"1, Year experience",,Kolkata,West bengol,"Dhar Clinic, ","Durganagar,,,Kolkata,",MBBS,Debdut Dhar
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-satyaki-basu-general-physician?lpt=PS-SRP,General Physician,"14, Years experience",,Kolkata,West bengol,"BCD Medicare, ","Behala Chowrasta,,,Kolkata,",MBBS,Satyaki Basu
 (19 ratings),,https://www.lybrate.com/kolkata/doctor/dr-chandan-malik-general-physician-1?lpt=PS-SRP,General Physician,"5, Years experience",,Kolkata,West bengol,"Uma Medical related Institute Kolka ..., ","Teghoria,,,Kolkata,",MBBS,Chandan Malik
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-deep-banerjee-general-physician?lpt=PS-SRP,General Physician,"2, Years experience",,Kolkata,West bengol,"104 Rbc Road Dum Dum, ","Dum Dum Cant,,,Kolkata,",MBBS,"Dr. ,Deep Banerjee"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-saptarshi-general-physician?lpt=PS-SRP,General Physician,experience not found,,Kolkata,West bengol,"Neer, ",",kolkata,,",,"Dr. ,Saptarshi"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-bratati-bandyopadhyay-general-physician?lpt=PS-SRP,General Physician,experience not found,,Kolkata,West bengol,"Bratati Bandyopadhyay, ",",Kolkata,,",,"Dr. ,Bratati Bandyopadhyay"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-sayak-paul-general-physician?lpt=PS-SRP,General Physician,"10, Years experience",,Kolkata,West bengol,"NEW BLUE PRINT, ",",Kolkata,,",MD - Physician,"Dr. ,Sayak Paul"
 (84 ratings),4 patient feedback(s),https://www.lybrate.com/asansol/doctor/dr-sumit-chakraborty-general-physician?lpt=PS-SRP,General Physician,"7, Years experience",,Asansol,West bengol,"Gupta Medical , ",",Asansol,,","M.D.(medicine), PG in Diabetology, PG Diploma In Clinical Cosmetology (PGDCC)","Dr. ,S Chakraborty"
 (54 ratings),2 patient feedback(s),https://www.lybrate.com/durgapur/doctor/dr-sasthi-narayan-chakraborty-general-physician?lpt=PS-SRP,General Physician,"11, Years experience",,Asansol,West bengol,"Ramashram MULTISPECIALITY polyclini ..., ",",Asansol,,","PGC Diabetology, ACMDC (Diabetes and Cardiovascular Diseases), CCMTD (Thyroid Disorders), MD-Community Medicine, MBBS","Dr. ,Sasthi Narayan Chakraborty"
rating not found,,https://www.lybrate.com/asansol/doctor/dr-jyoti-prakas-sinha-general-physician?lpt=PS-SRP,General Physician,experience not found,,Asansol,West bengol,"J.P.Sinha' Clinic, ","Chelidanga,,,Asansol,",,"Dr. ,Jyoti Prakas Sinha"
 (90 ratings),1 patient feedback,https://www.lybrate.com/asansol/doctor/dr-binod-kumar-tiwari-general-physician?lpt=PS-SRP,General Physician,"7, Years experience",,Asansol,West bengol,"ADVANCED HOMOEO CLINIC, ",",Ismile, Asansol,,• 1.5 km",BHMS,"Dr. ,Binod Kumar Tiwari"
rating not found,,https://www.lybrate.com/durgapur/doctor/dr-prem-mohan-gupta-general-physician?lpt=PS-SRP,General Physician,experience not found,,Asansol,West bengol,"kabita medical, ",",durgapur,,• 33.3 km",,"Dr. ,Prem Mohan Gupta"
 (205 ratings),33 patient feedback(s),https://www.lybrate.com/durgapur/doctor/dr-bashar-imam-ahmad-general-physician?lpt=PS-SRP,General Physician,"14, Years experience",,Asansol,West bengol,"Dr. B. I. Ahmad's Residence, ",",Durgapur,,• 42.9 km","MD - General Medicine, MBBS","Dr. ,Bashar Imam Ahmad"
 (187 ratings),5 patient feedback(s),https://www.lybrate.com/noida/doctor/dr-naveen-prakash-verma-general-physician?lpt=PS-SRP,General Physician,"12, Years experience",,Asansol,West bengol,"Jaypee Hospital, ","Sector-128,,,Noida,","MBBS,PGDMCH,PGDGM,AFIH,MHA,DEM","Dr. ,Naveen Prakash Verma"
 (1679 ratings),17 patient feedback(s),https://www.lybrate.com/delhi/doctor/dr-mohammad-mehmood-ahmed-general-physician?lpt=PS-SRP,General Physician,"27, Years experience",,Asansol,West bengol,"Dr. Mehmood Clinic, ","Chawri Bazar,,,Delhi,",Bachelor of Unani Medicine and Surgery (B.U.M.S),"Dr. ,Mehmood Ahmed"
 (916 ratings),14 patient feedback(s),https://www.lybrate.com/gurgaon/doctor/dr-vishwas-madhav-thakur-general-physician?lpt=PS-SRP,General Physician,"29, Years experience",,Asansol,West bengol,"Omega Healthcare Solutions, ","Sohna Road,,,Gurgaon,","MBBS, AFIH, PGDMLS, MD-HRM, MD-HM","Dr. ,Vishwas Madhav Thakur"
 (229 ratings),3 patient feedback(s),https://www.lybrate.com/delhi/doctor/dr-sanchayan-roy-general-physician?lpt=PS-SRP,General Physician,"21, Years experience",,Asansol,West bengol,"National Heart Institute, ",",Delhi,,","DNB (Medicine), MBBS","Dr. ,Sanchayan Roy"
 (8605 ratings),33 patient feedback(s),https://www.lybrate.com/jaipur/doctor/dr-varun-mathur-general-physician?lpt=PS-SRP,General Physician,"12, Years experience",,Asansol,West bengol,"Dr varun Mathur clinic, ","Malviya Nagar,,,Jaipur,",MBBS,"Dr. ,Varun Mathur"
 (565 ratings),13 patient feedback(s),https://www.lybrate.com/bangalore/doctor/dr-ali-zama-general-physician?lpt=PS-SRP,General Physician,"7, Years experience",,Asansol,West bengol,"Kare Scanning Center, ","Austin Town,,,Bangalore,","MBBS, Fellowship In Diabetology, Diploma in Diabetes (UK)","Dr. ,Ali Zama"
 (3838 ratings),7 patient feedback(s),https://www.lybrate.com/faridabad/doctor/dr-s-k-mittal-general-physician?lpt=PS-SRP,General Physician,"44, Years experience",,Asansol,West bengol,"Dr Mittal 's Clinic, ","Indira Nagar,,,Bangalore,",MBBS,"Dr. ,S K Mittal"
 (1097 ratings),20 patient feedback(s),https://www.lybrate.com/delhi/doctor/dr-ashish-khattar-general-physician?lpt=PS-SRP,General Physician,"19, Years experience",,Asansol,West bengol,"HealthBliss Clinic, ",",Dwarka,,","MBBS, MD - General Medicine, PG Diploma Diabetology, Post Graduate Diploma in Clinical Endocrinology and Diabetes","Dr. ,Ashish Khattar"
 (41 ratings),3 patient feedback(s),https://www.lybrate.com/siliguri/doctor/dr-ema-pradhan-general-physician?lpt=PS-SRP,General Physician,"9, Years experience",,Siliguri,West bengol,"TAC (Siliguri), ",",Siliguri,,","Fellowship In Cosmetic Dermatology, MBBS","Dr. ,Ema Pradhan"
rating not found,,https://www.lybrate.com/siliguri/doctor/dr-mainak-general-physician?lpt=PS-SRP,General Physician,experience not found,,Siliguri,West bengol,"Mainak, ","Siliguri,,,Siliguri,",,"Dr. ,Mainak"
rating not found,,https://www.lybrate.com/gangtok/doctor/dr-tashi-w-bhutia-general-physician?lpt=PS-SRP,General Physician,"15, Years experience",,Siliguri,West bengol,"Healing point, ",",Gangtok,,• 72.5 km",MBBS,"Dr. ,Tashi W Bhutia"
rating not found,,https://www.lybrate.com/gangtok/doctor/dr-nandita-general-physician?lpt=PS-SRP,General Physician,experience not found,,Siliguri,West bengol,"health &aesthetic clinic, ",",Gangtok,,• 70.2 km",,"Dr. ,Nandita Rai"
rating not found,,https://www.lybrate.com/singtam/doctor/dr-tej-b-chettri-general-physician?lpt=PS-SRP,General Physician,experience not found,,Siliguri,West bengol,"Singtam dist.hospital., ",",Singtam,,• 58.4 km",,"Dr. ,Tej B.Chettri"
 (1804 ratings),58 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-dhruba-bhattacharya-general-physician?lpt=PS-SRP,General Physician,"41, Years experience",,Siliguri,West bengol,"NANDINI PHARMACY, ",",Kolkata,,","MBBS, PGC In Family Welfare & Health Management, DHA, PGD In Medical Laws & Ethics","Dr. ,Dhruba Bhattacharya"
 (13236 ratings),53 patient feedback(s),https://www.lybrate.com/chennai/doctor/dr-setty-general-physician?lpt=PS-SRP,General Physician,"40, Years experience",,Siliguri,West bengol,"Doctoratyourplace, ","Kilpauk,,,Chennai,",MBBS,"Dr. ,Setty"
 (205 ratings),33 patient feedback(s),https://www.lybrate.com/durgapur/doctor/dr-bashar-imam-ahmad-general-physician?lpt=PS-SRP,General Physician,"14, Years experience",,Durgapur,West Bengol,"Dr. B. I. Ahmad's Residence, ",",Durgapur,,","MD - General Medicine, MBBS","Dr. ,Bashar Imam Ahmad"
 (54 ratings),2 patient feedback(s),https://www.lybrate.com/durgapur/doctor/dr-sasthi-narayan-chakraborty-general-physician?lpt=PS-SRP,General Physician,"11, Years experience",,Durgapur,West Bengol,"National Medical Hall, ",",Durgapur,,","PGC Diabetology, ACMDC (Diabetes and Cardiovascular Diseases), CCMTD (Thyroid Disorders), MD-Community Medicine, MBBS","Dr. ,Sasthi Narayan Chakraborty"
rating not found,,https://www.lybrate.com/durgapur/doctor/dr-soumen-gorai-general-physician?lpt=PS-SRP,General Physician,experience not found,,Durgapur,West Bengol,"AGRANI STREET, ",",Durgapur,,",,"Dr. ,Soumen Gorai"
rating not found,,https://www.lybrate.com/durgapur/doctor/dr-prem-mohan-gupta-general-physician?lpt=PS-SRP,General Physician,experience not found,,Durgapur,West Bengol,"kabita medical, ",",durgapur,,",,"Dr. ,Prem Mohan Gupta"
 (90 ratings),1 patient feedback,https://www.lybrate.com/asansol/doctor/dr-binod-kumar-tiwari-general-physician?lpt=PS-SRP,General Physician,"7, Years experience",,Durgapur,West Bengol,"ADVANCED HOMOEO CLINIC, ",",Ismile, Asansol,,• 41.4 km",BHMS,"Dr. ,Binod Kumar Tiwari"
 (84 ratings),4 patient feedback(s),https://www.lybrate.com/asansol/doctor/dr-sumit-chakraborty-general-physician?lpt=PS-SRP,General Physician,"7, Years experience",,Durgapur,West Bengol,"Chaudhari Medical Hall , ",",Asansol,,• 44.3 km","M.D.(medicine), PG in Diabetology, PG Diploma In Clinical Cosmetology (PGDCC)","Dr. ,S Chakraborty"
 (13673 ratings),591 patient feedback(s),https://www.lybrate.com/jalgaon/doctor/dr-rajesh-jain-general-physician?lpt=PS-SRP,General Physician,"28, Years experience",,Durgapur,West Bengol,"Dr. Jain Clinic, ",",Jalgaon,,",MBBS,"Dr. ,Rajesh Jain"
 (1097 ratings),20 patient feedback(s),https://www.lybrate.com/delhi/doctor/dr-ashish-khattar-general-physician?lpt=PS-SRP,General Physician,"19, Years experience",,Durgapur,West Bengol,"HealthBliss Clinic, ",",Dwarka,,","MBBS, MD - General Medicine, PG Diploma Diabetology, Post Graduate Diploma in Clinical Endocrinology and Diabetes","Dr. ,Ashish Khattar"
rating not found,,https://www.lybrate.com/bardhaman/doctor/dr-chandan-ghosh-general-physician?lpt=PS-SRP,General Physician,"7, Years experience",,Bardhaman,West Bengol,"Chandan Ghosh, ",",Bardhaman,,",MBBS,"Dr. ,Chandan Ghosh"
rating not found,,https://www.lybrate.com/bardhaman/doctor/dr-debkumar-ray-general-physician?lpt=PS-SRP,General Physician,"22, Years experience",,Bardhaman,West Bengol,"Medisurg, ",",Bardhaman,,","MBBS, MD - Lab Medicine","Dr. ,Debkumar Ray"
 (27 ratings),,https://www.lybrate.com/bardhaman/doctor/dr-tarundeb-gupta-general-physician?lpt=PS-SRP,General Physician,"5, Years experience",,Bardhaman,West Bengol,"Anamoy, ",",Burdwan,,• 1.5 km","MBBS,J.R. Neurology","Dr. ,Tarundeb Gupta"
 (1534 ratings),1 patient feedback,https://www.lybrate.com/bardhaman/doctor/dr-souvik-paul-general-physician?lpt=PS-SRP,General Physician,"5, Years experience",,Bardhaman,West Bengol,"burdwan medical college, ",",burdwan,,• 2.1 km","MS - Orthopaedics, MBBS Bachelor of Medicine and Bachelor of Surgery","Dr. ,Souvik Paul"
rating not found,,https://www.lybrate.com/kolkata/doctor/dr-dipayan-mazumdar-general-physician?lpt=PS-SRP,General Physician,"5, Years experience",,Bardhaman,West Bengol,"Dr. Dipayan, ","Nadia,,,Kolkata,",MBBS,"Dr. ,Dipayan Mazumdar"
rating not found,,https://www.lybrate.com/bardhaman/doctor/dr-abhinav-choudhury-general-physician?lpt=PS-SRP,General Physician,"7, Years experience",,Bardhaman,West Bengol,"Sharanya Multispeciality Hospital, ",",Burdwan,,• 4.6 km","Doctor of Medicine, Diploma family medicine, Pg diploma ENDOCRINOLOGY","Dr. ,Abhinav Choudhury"
 (526 ratings),47 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-archana-agarwal-homeopath?lpt=PS-SRP,Homeopath,"19, Years experience",,Kolkata,West Bengol,"Dr. Agarwal's Multi Speciality Homo ..., ",",Dhakuria Kolkata,,",BHMS,"Dr. ,Archana Agarwal"
 (269 ratings),63 patient feedback(s),https://www.lybrate.com/kanpur/doctor/jivaayurveda?lpt=PS-SRP,Ayurveda,"21, Years experience",,Kolkata,West Bengol,"Jiva Ayurveda - Kolkata, ","Topsia Road,,,Kolkata,","Bachelor of Ayurveda, Medicine and Surgery (BAMS)",Jiva Ayurveda
 (611 ratings),35 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-manoj-khemani-orthopedist?lpt=PS-SRP,Orthopedist,"17, Years experience",,Kolkata,West Bengol,"Healing Touch Clinic, ","Bangur Avenue,,,Kolkata,","MCh Ortho, ATLS (AIIMS), Diploma In Orthopaedics (D. Ortho), MBBS, MS - Orthopaedics, Fellowship in Arthroplasty and Reconstructive Orthopaedic Surgery","Dr. ,Manoj Kumar Khemani"
 (13268 ratings),114 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-purushottam-sah-sexologist?lpt=PS-SRP,Sexologist,"39, Years experience",,Kolkata,West Bengol,"Nightingale Hospital, ","Shakespeare Sarani,,,Kolkata,","DGO, MBBS","Dr. ,Purushottam Sah"
 (237 ratings),43 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-niraj-jain-dermatologist?lpt=PS-SRP,Dermatologist,"10, Years experience",,Kolkata,West Bengol,"Dr Jain Skin and Hair Care Clinic, ","Bhawanipur,,,Kolkata,","MBBS, MD (D.V.L.)","Dr. ,Niraj Jain"
 (8998 ratings),59 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-anupreet-kaur-choudhury-dentist?lpt=PS-SRP,Dentist,"20, Years experience",,Kolkata,West Bengol,"Dentall, ","Kestopur,,,Kolkata,","BDS, MDS - Oral Medicine and Radiology","Dr. ,Anupreet Kaur Choudhury"
 (187 ratings),50 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-tanoy-bose-internal-medicine-specialist?lpt=PS-SRP,Internal Medicine Specialist,"9, Years experience",,Kolkata,West Bengol,"The Rheumatology & Diabetes Center  ..., ",",Kolkata,,","EULAR certificate for Rheumatic Diseases, MD, Diploma in Echocardiography, Diploma in Rheumatology","Dr. ,Tanoy Bose"
